top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
1701406817,,4-Nitro-isothiazole,95,FS000717,C3H2N2O2S,130.12559,In Stock,95,295,495,1950,3995,,
1701406819,,2-Cyano-pentanedioic acid diethyl ester,95,FS001693,C10H15NO4,213.23535,In Stock,,,,125,495,1495,2392
1701406821,,(2R)-2-[(ethoxycarbonyl)methyl]-4-methylpentanoic acid,95,FS001316,C10H18O4,202.25256,In Stock,,95,145,295,,,
1701406822,,1-Boc-3-(hydroxy)azetidine,98,FS011275,C8H15NO3,173.21365,In Stock,,,95,115,215,395,632
1701406823,,"4-Aminomethylphenylboronic acid, hydrogen chloride",95,FS011490,C7H11BClNO2,187.43522,In Stock,,,,95,315,915,
1701406827,,R-3-(Boc-amino)piperidine,98,FS011283,C10H20N2O2,200.2831,In Stock,,75,95,195,495,995,
1701406828,,S-3-(Boc-amino)piperidine,98,FS011282,C10H20N2O2,200.2831,In Stock,,75,95,195,795,1995,
1701406832,,2-Trifluoromethyl-pyrimidine-4-carboxylic acid methyl ester,98,FS020013,C7H5F3N2O2,206.1253,In Stock,,,,295,1295,3450,
1701406837,,(S)3-Amino-1-Boc-piperidine,98,FS011280,C10H20N2O2,200.2831,In Stock,,,,195,495,1550,
1701406840,,(R)-3-Methyl-1-Boc-piperazine,98,FS011292,C10H20N2O2,200.2831,In Stock,,,95,175,415,810,
1701406842,,(R)3-Aminomethyl-piperidine-1-carboxylic acid tert-butyl ester,98,FS011279,C11H22N2O2,214.31019,In Stock,,,,395,995,3495,
1701406843,,(S)3-Aminomethyl-piperidine-1-carboxylic acid tert-butyl ester,98,FS011278,C11H22N2O2,214.31019,In Stock,,,,395,950,3450,
1701406845,,Boc-Azetidine-3-carboxylic acid,98,FS011295,C9H15NO4,201.2242,In Stock,75,80,85,95,395,995,
1701406849,,6-Aminooxy-hexanoic acid; hydrobromide,95,FS001318,C6H14BrNO3,228.08738,In Stock,75,80,95,495,1495,3950,
1701406850,,"N*2*-Cyclopropyl-pyridine-2,3-diamine",95,FS001027,C8H11N3,149.19697,In Stock,,95,195,495,1950,3450,
1701406851,,Cyclobutylphenylsulfide,95,FS005057,C10H12S,164.27114,In Stock,,,,495,1950,3950,
1701406853,,"3-Bromo-2,6-dimethyl-pyridine",95,FS001028,C7H8BrN,186.05251,In Stock,,,,95,395,1250,2000
1701406858,,"5-Chloro-3,4-diaminopyridine",95,FS001029,C5H6ClN3,143.57667,In Stock,95,295,395,850,1995,3995,
1701406859,,"5-Bromo-3,4-diaminopyridine",95,FS001030,C5H6BrN3,188.02767,In Stock,95,195,495,950,1995,2995,4792
1701406860,,"4,5-Dimethyl-1H-imidazole; hydrochloride",95,FS001690,C5H9ClN2,132.59388,In Stock,75,95,195,495,1995,3995,
1701406861,,"7-Chloro-1H-imidazo[4,5-c]pyridine",95,FS001031,C6H4ClN3,153.57188,In Stock,95,295,595,850,3995,9995,
1701406862,,"7-Bromo-1H-imidazo[4,5-c]pyridine",95,FS000624,C6H4BrN3,198.02288,In Stock,95,195,295,495,1995,4995,
1701406863,,"7-Bromo-2-methyl-1H-imidazo[4,5-c]pyridine",95,FS000625,C7H6BrN3,212.04997,In Stock,,,,1195,3995,9995,
1701406864,,"6-Bromo-2-trifluoromethyl-3H-imidazo[4,5-b]pyridine",95,FS000631,C7H3BrF3N3,266.02126,In Stock,75,125,245,495,1995,3995,
1701406866,,"7-Bromo-1,3-dihydro-imidazo[4,5-c]pyridin-2-one",95,FS001033,C6H4BrN3O,214.02228,In Stock,,,895,1495,3995,,
1701406867,,"8-Bromo-pyrido[3,4-b]pyrazine",95,FS001034,C7H4BrN3,210.03403,In Stock,95,245,495,950,2995,6995,
1701406871,,4-Bromothiazole,95,FS000572,C3H2BrNS,164.02409,In Stock,,,,295,995,1995,
1701406872,,5-Bromothiazole,95,FS000573,C3H2BrNS,164.02409,In Stock,,,,495,1695,2995,
1701406876,,(6-Chloro-pyridin-2-yl)-acetonitrile,95,FS011420,C7H5ClN2,152.5843,In Stock,75,95,195,495,1995,4495,
1701406885,,O-Cyclobutyl-hydroxylamine hydrochloride,95,FS001325,C4H10ClNO,123.5834,In Stock,95,195,395,895,2995,5995,
1701406895,,O-(4-Fluoro-benzyl)-hydroxylamine hydrochloride,95,FS001336,C7H9ClFNO,177.60728,In stock,,75,195,295,995,3495,
1701406897,,O-(3-Fluoro-benzyl)-hydroxylamine hydrochloride,95,FS001338,C7H9ClFNO,177.60728,In Stock,,75,195,295,995,3495,
1701406902,,1-Boc-2-Cbz-hydrazine,95,FS002304,C13H18N2O4,266.29941,In Stock,,95,195,495,1295,2995,
1701406903,,Dimethyl-(3-phenyl-but-3-enyl)-amine,90,FS010915,C12H17N,175.27599,In Stock,,,295,495,2295,4995,
1701406904,,1-Cbz-4-methylene-piperidine,95,FS010916,C14H17NO2,231.29709,In Stock,,,245,495,1995,3995,
1701406905,,1-Boc-4-Methylene-piperidine,97,FS010917,C11H19NO2,197.27958,In Stock,,,,295,995,2495,
1701406911,,"2,5-Dibromo-3-nitro-pyridine",95,FS001039,C5H2Br2N2O2,281.89189,In Stock,75,145,245,495,1395,2995,
1701406916,,5-Amino-2-(trifluoromethyl)pyridine,95,FS001043,C6H5F3N2,162.11535,In Stock,,,95,145,515,1870,
1701406918,,5-Bromo-2-methoxy-4-methylpyridine,95,FS001045,C7H8BrNO,202.05191,In Stock,,,,95,215,770,1232
1701406920,,(6-Chloro-pyridin-2-yl)-acetic acid methyl ester,95,FS011495,C8H8ClNO2,185.61146,In Stock,,,595,850,3495,8995,
1701406923,,2-Phenethyl-phosphonic acid,95,FS001504,C8H11O3P,186.14887,In Stock,95,195,395,950,2450,3950,
1701406924,,(1-Phenyl-ethyl)-phosphonic acid,95,FS001505,C8H11O3P,186.14887,In Stock,95,195,495,850,2450,3950,
1701406926,,(4-Methyl-benzyl)-phosphonic acid,95,FS001507,C8H11O3P,186.14887,In Stock,95,195,595,950,1995,3995,
1701406927,,3-Amino-3-methyl-1-butyne,95,FS001800,C5H9N,83.13418,In Stock,,,,,115,495,
1701406932,,2-Amino-3-(trifluoromethyl)pyridine,98,FS001048,C6H5F3N2,162.11535,In Stock,,75,95,195,495,995,1592
1701406933,,6-Trifluoromethyl-nicotinic acid,95,FS001049,C7H4F3NO2,191.11063,In Stock,75,80,145,295,995,1995,3192
1701406934,,4-Cyano-2-fluoropyridine,95,FS001050,C6H3FN2,122.10261,In Stock,,75,95,145,590,1850,2960
1701406935,,(S)-5-(3-Isobutyl-piperazine-1-sulfonyl)-isoquinoline dihydrochloride,95,FS002224,C17H25Cl2N3O2S,406.3777,In Stock,495,995,1495,2495,4495,,
1701406939,,1-(4-Ethynyl-phenyl)-ethanone,95,FS001806,C10H8O,144.17466,In Stock,75,95,145,295,895,2495,
1701406971,,"2-Methoxy-3,5-difluoro-benzeneboronic acid",95,FS000758,C7H7BF2O3,187.93984,In Stock,,95,195,495,995,3495,
1701406975,,"2-(4-Methoxymethoxy-phenyl)-4,4,5,5-tetramethyl-[1,3,2]dioxaborolane",95,FS000552,C14H21BO4,264.13207,In Stock,,,,495,1995,3495,
1701406980,,"Dimethyl-{3-[5-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-pyridin-2-yloxy]-propyl}-amine",95,FS000579,C16H27BN2O3,306.21619,In Stock,,,,895,1895,3995,
1701406982,,"2-[3-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-allyloxy]-tetrahydro-pyran",95,FS000575,C14H25BO4,268.16395,In Stock,,,,495,1995,3995,
1701406984,,"[4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenoxy]-acetonitrile",95,FS000580,C14H18BNO3,259.11546,In Stock,75,95,195,395,950,1950,
1701406987,,"3-Methyl-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-1H-pyrazole",95,FS000568,C10H17BN2O2,208.07019,In Stock,75,195,295,495,1995,3495,
1701406992,,2-Amino-pyrimidine-5-boronic acid,95,FS000587,C4H6BN3O2,138.92232,In Stock,95,195,295,495,1495,3995,
1701407003,,2-(Difluoromethoxy)-benzeneboronic acid,90,FS000772,C7H7BF2O3,187.93984,In Stock,,295,475,1195,2795,4695,
1701407006,,3-Fluoro-4-methoxy-benzeneboronic acid,90,FS000767,C7H8BFO3,169.94941,In Stock,75,145,295,495,1995,3995,
1701407009,,5-Amino-3-methyl-isothiazole-4-carbonitrile,95,FS000662,C5H5N3S,139.1797,In Stock,,,95,295,995,2995,
1701407011,,Isoquinoline-5-sulfonyl chloride; hydrochloride,95,FS000325,C9H7Cl2NO2S,264.13164,In Stock,,,,295,795,2995,
1701407013,,"4-Chloro-6,7-bis-(2-methoxy-ethoxy)-quinazoline",95,FS020186,C14H17ClN2O4,312.75559,In Stock,95,195,295,695,1295,1295,2072
1701407015,,4-Bromo-2-hydroxybenzaldehyde,95,FS000352,C7H5BrO2,201.0207,In Stock,75,95,195,395,1695,3495,5592
1701407017,,2-Fluoro-4-methyl-5-nitro-pyridine,95,FS001042,C6H5FN2O2,156.11735,In Stock,,,95,115,365,1015,
1701407020,,"4-(4-Bromo-phenyl)-1,3-dihydro-imidazol-2-one",95,FS005052,C9H7BrN2O,239.07294,In Stock,75,95,195,495,1495,2995,
1701407023,,2-Bromophenacyl bromide,95,FS000057,C8H6Br2O,277.94442,In Stock,,,,95,395,995,
1701407024,,Dipropargylamine,97,FS001811,C6H7N,93.12939,In Stock,,,,195,945,3495,
1701407026,,2-Fluoro-3-trifluoromethyl-pyridine,95,FS001053,C6H3F4N,165.09111,In Stock,,,,,,1150,
1701407033,,2-Fluoro-4-trifluoromethyl-pyridine,95,FS001060,C6H3F4N,165.09111,In Stock,,,,,950,2950,
1701407042,,2-Chloro-6-trifluoromethyl-pyridine,95,FS001071,C6H3ClF3N,181.54571,In Stock,,,95,115,390,1170,
1701407043,,3-Bromo-4-trifluoromethyl-pyridine,95,FS001074,C6H3BrF3N,225.99671,In Stock,,,,,2995,4495,
1701407047,,3-Fluoro-4-trifluoromethyl-pyridine,95,FS001077,C6H3F4N,165.09111,In Stock,,,95,295,1995,2995,
1701407052,,5-Chloro-2-trifluoromethylpyridine,97,FS001082,C6H3ClF3N,181.54571,In Stock,,,95,295,495,1495,
1701407053,,6-Trifluoromethyl-pyridin-3-ol,95,FS001085,C6H4F3NO,163.10008,In Stock,75,95,195,395,895,1995,
1701407056,,5-Fluoro-2-trifluoromethyl-pyridine,95,FS001084,C6H3F4N,165.09111,In Stock,,,,295,995,1995,
1701407058,,6-Bromo-2-methyl-3-nitro-pyridine,95,FS001089,C6H5BrN2O2,217.02295,In Stock,75,80,95,145,495,995,1592
1701407060,,4-bromothiophene-2-acetic acid,95,FS001088,C6H5BrO2S,221.07355,In Stock,75,145,295,495,1995,3995,
1701407062,,4-Bromo-benzo[c]isothiazole,95,FS000727,C7H4BrNS,214.08463,In Stock,,,,950,2950,4950,
1701407072,,"4-Phenyl-1,3-dihydro-imidazol-2-one",95,FS005063,C9H8N2O,160.17691,In Stock,75,95,195,495,1495,2995,
1701407074,,3-Amino-5-bromo-2-chloropyridine,95,FS001083,C5H4BrClN2,207.45803,In Stock,75,95,195,495,1995,3995,6392
1701407075,,"(R)-1,4-Diazobicyclo[4.3.0]nonane",98,FS011269,C7H14N2,126.20303,In Stock,,,245,495,1495,5495,
1701407076,,1-Boc-3-(iodo)azetidine,98,FS011267,C8H14INO2,283.11068,In Stock,,,,145,395,995,
1701407078,,1-Boc-azetidin-3-one,98,FS011268,C8H13NO3,171.19771,In Stock,,75,95,195,450,995,1592
1701407079,,1-Boc-3-azetidinecarboxaldehyde,98,FS011266,C9H15NO3,185.2248,In Stock,,,,495,890,2595,
1701407085,,4-Bromo-2-methylpyridine,95,FS061083,C6H6BrN,172.02542,In Stock,,,,195,850,1995,
1701407086,,4-Bromopyridine-2-carboxylic acid,95,FS061087,C6H4BrNO2,202.00828,In Stock,75,95,145,295,995,2495,
1701407087,,2-(Boc-amino)-4-bromopyridine,95,FS061088,C10H13BrN2O2,273.13131,In Stock,95,125,250,495,1995,3995,
1701407104,,1-Methyl-pyrazole-4-boronic acid pinacol ester,95,FS010803,C10H17BN2O2,208.07019,In Stock,75,80,95,195,495,1495,
1701407106,,2-Acetamidopyridine-5-boronic acid,95,FS010798,C7H9BN2O3,179.97238,In Stock,95,195,295,495,2395,4995,
1701407107,,4-Cyanomethoxyphenylboronic acid,95,FS010796,C8H8BNO3,176.96886,In Stock,95,245,395,850,2995,5995,
1701407108,,3-Cyanomethoxyphenylboronic acid,95,FS010795,C8H8BNO3,176.96886,In Stock,95,195,295,495,2395,4995,
1701407111,,2-Cyanomethoxyphenylboronic acid,95,FS010797,C8H8BNO3,176.96886,In Stock,95,295,495,950,3995,7995,
1701407112,,4(tert-Butoxycarbonyl-N-methylamino)-phenylboronic acid,95,FS010794,C12H18BNO4,251.09256,In Stock,,,,495,1450,2950,
1701407114,,1-tert-Butoxycarbonyl-1H-pyrazole-4-boronic acid,95,FS010790,C8H13BN2O4,212.01481,In Stock,95,195,295,495,1995,3995,
1701407116,,"2-(3-Bromo-phenyl)-7-trifluoromethyl-imidazo[1,2-a]pyridine",95,FS004032,C14H8BrF3N2,341.13246,In Stock,95,195,595,850,2995,4995,
1701407120,,"8-Trifluoromethyl-imidazo[1,2-a]pyridine",95,FS004037,C8H5F3N2,186.13765,In Stock,75,95,195,295,990,1980,
1701407129,,"6-Trifluoromethyl-imidazo[1,2-a]pyridine",95,FS004023,C8H5F3N2,186.13765,In Stock,75,95,195,295,990,1980,
1701407141,,"4-Bromo-2,6-dimethyl-pyridine",95,FS001052,C7H8BrN,186.05251,In Stock,,75,95,195,395,1250,
1701407152,,"6-Bromo-imidazo[1,2-a]pyrimidine",95,FS004044,C6H4BrN3,198.02288,In Stock,,,95,175,710,2290,
1701407165,,2-Chloro-pteridin,95,FS000304,C6H3ClN4,166.57061,In Stock,,,,1095,2950,5950,
1701407168,,"6-Methyl-7,9-dihydro-purin-8-one",95,FS000307,C6H6N4O,150.14092,In Stock,,,,1250,2950,6950,
1701407185,,2-Amino-4-chloropyridine,95,FS001111,C5H5ClN2,128.562,In Stock,75,95,145,295,950,1950,3120
1701407186,,3-Amino-5-fluoropyridine,95,FS001110,C5H5FN2,112.1074,In Stock,,,,295,495,1295,
1701407188,,But-3-ynylamine hydrochloride,95,FS001818,C4H8ClN,105.56806,In Stock,75,95,195,395,1495,5495,
1701407189,,5-Chloromethyl-2-pyrazol-1-yl-pyridine,95,FS000754,C9H8ClN3,193.63721,In Stock,,,,495,1950,6950,
1701407195,,3-Chloro-6-methyl-pyridazine-4-carboxylic acid,95,FS012212,C6H5ClN2O2,172.57195,In Stock,95,195,495,995,2495,3995,
1701407210,,1-(3-Bromo-2-fluoro-phenyl)-ethanone,95,FS005071,C8H6BrFO,217.03882,In Stock,,,295,495,950,1950,3120
1701407217,,3-Bromo-2-fluoropyridine,95,FS001113,C5H3BrFN,175.98876,In Stock,,,,95,295,995,
1701407221,,2-Methoxy-pyridine-4-carbaldehyde,95,FS005104,C7H7NO2,137.13934,In Stock,,,395,995,1995,3995,
1701407227,,5-Azaindole,95,FS002125,C7H6N2,118.13927,In Stock,75,125,245,495,1595,3495,5592
1701407228,,6-Azaindole,95,FS002126,C7H6N2,118.13927,In Stock,,75,95,195,850,2950,
1701407231,,2-Bromo-5-fluoropyrimidine,95,FS000598,C4H2BrFN2,176.97634,In Stock,75,195,395,495,995,1995,
1701407234,,5-Trifluoromethyl-pyridine-3-boronic acid,95,FS030003,C6H5BF3NO2,190.91845,In Stock,95,195,395,895,3995,8995,
1701407235,,2-Trifluoromethyl-pyridine-5-boronic acid,95,FS000599,C6H5BF3NO2,190.91845,In Stock,95,195,295,495,1995,3995,
1701407236,,"2,6-Dimethyl-pyridine-4-boronic acid",95,FS000785,C7H10BNO2,150.97425,In Stock,95,295,395,950,2495,4995,
1701407243,,"7-Bromo-2-(4-fluoro-phenyl)-imidazo[1,2-a]pyridine",95,FS004081,C13H8BrFN2,291.12451,In Stock,95,195,295,495,1995,3995,
1701407261,,5-Fluoro-2-trifluoromethyl-phenylboronic acid,95,FS007000,C7H5BF4O2,207.9213,In Stock,95,195,295,495,1995,5995,
1701407268,,4-Fluoro-2-trifluoromethyl-phenylboronic acid,95,FS007001,C7H5BF4O2,207.9213,In Stock,95,195,295,495,1995,4995,
1701407270,,2-Methyl-3-trifluoromethyl-phenylboronic acid,95,FS007002,C8H8BF3O2,203.95796,In Stock,95,245,495,850,3495,7995,
1701407276,,"1-Bromo-3,5-difluoro-2-methoxy-benzene",95,FS000354,C7H5BrF2O,223.0181,In Stock,,,,95,145,465,
1701407278,,4-Methyl-3-trifluoromethyl-phenylboronic acid,95,FS007003,C8H8BF3O2,203.95796,In Stock,95,245,595,950,2995,4995,
1701407279,,2-Methyl-5-trifluoromethyl-phenylboronic acid,95,FS007004,C8H8BF3O2,203.95796,In Stock,95,245,395,850,3495,5995,
1701407290,,"1,4-Dithia-8-aza-spiro[4.6]undecane, hydrochloride",90,FS007015,C8H16ClNS2,225.80442,In Stock,75,95,195,295,995,3995,
1701407327,,2-Fluoro-4-methyl-pyridin-3-ylamine,95,FS007053,C6H7FN2,126.13449,In Stock,95,195,495,950,1995,3995,
1701407329,,5-Bromo-2-chloro-4-methyl-3-nitro-pyridine,95,FS007055,C6H4BrClN2O2,251.46798,In Stock,95,195,295,495,1395,2995,
1701407345,,2-Fluoro-6-(difluoromethoxy)pyridine,95,FS007069,C6H4F3NO,163.10008,In Stock,,195,495,950,,,
1701407349,,"Azetidin-1-yl-(4-bromo-pyridin-2-yl)-methanone",95,FS007071,C9H9BrN2O,241.08888,In Stock,195,295,495,995,,,
1701407375,,(R)-1-Boc-3-(hydroxymethyl)piperidine,98,FS007097,C11H21NO3,215.29492,In Stock,,,95,195,295,895,
1701407376,,2-Chlorothiophene-3-boronic acid,95,FS000316,C4H4BClO2S,162.40328,In Stock,75,95,195,495,1495,2995,
1701407378,,(S)-1-Boc-3-(hydroxymethyl)piperidine,98,FS007098,C11H21NO3,215.29492,In Stock,,,,95,245,849,
1701407379,,1-Boc-3-piperidinecarboxaldehyde,98,FS007099,C11H19NO3,213.27898,In Stock,,,,195,895,2495,
1701407380,,1-Boc-3-methylaminopiperidine,98,FS007100,C11H22N2O2,214.31019,In Stock,,,,195,395,995,
1701407385,,2-Bromo-1-fluoro-3-methoxy-benzene,95,FS008005,C7H6BrFO,205.02767,In Stock,,75,95,195,395,695,
1701407391,,CEL,90,FS810005,C9H18N2O4,218.25481,In Stock,145,395,850,2495,,,
1701407393,,(1-Mercaptomethyl-cyclopropyl)-acetic acid,95,FS007102,C6H10O2S,146.2094,In Stock,75,95,195,395,1450,4350,
1701407394,,"6-Chloro-imidazo[1,2-b]pyridazine",95,FS007103,C6H4ClN3,153.57188,In Stock,75,95,145,295,995,1995,3192
1701407395,,3-Oxo-cyclobutanecarboxylic acid,95,FS007104,C5H6O3,114.10177,In Stock,,,,95,395,1295,2072
1701407401,,4-Bromo-1-difluoromethoxy-2-fluoro-benzene,95,FS007107,C7H4BrF3O,241.00853,In Stock,,,,495,1995,3995,6392
1701407402,,4-Bromo-2-difluoromethoxy-1-fluoro-benzene,95,FS007108,C7H4BrF3O,241.00853,In Stock,95,195,295,495,1495,2995,4792
1701407404,,4-Bromo-1-difluoromethoxy-2-methyl-benzene,95,FS007110,C8H7BrF2O,237.04519,In Stock,,,,495,1995,3995,
1701407405,,1-Bromo-2-difluoromethoxy-4-fluoro-benzene,95,FS007111,C7H4BrF3O,241.00853,In Stock,,,,495,1995,3995,
1701407408,,1-Bromo-2-difluoromethoxy-3-fluoro-benzene,95,FS007114,C7H4BrF3O,241.00853,In Stock,,,,895,1995,3995,
1701407410,,1-Bromo-2-difluoromethoxy-3-methyl-benzene,95,FS007116,C8H7BrF2O,237.04519,In Stock,,,495,995,1995,3995,
1701407412,,4-difluoromethoxy-3-fluoro-benzeneboronic acid,95,FS007118,C7H6BF3O3,205.93027,In Stock,,,595,850,2995,,
1701407413,,3-Difluoromethoxy-4-fluoro-benzeneboronic acid,95,FS007119,C7H6BF3O3,205.93027,In Stock,,,395,950,2995,,
1701407415,,4-difluoromethoxy-3-methyl-benzeneboronic acid,95,FS007121,C8H9BF2O3,201.96693,In Stock,,,495,850,2995,,
1701407431,,5-Hydroxymethylthiophene-2-boronic acid,95,FS008010,C5H7BO3S,157.98474,In Stock,75,145,245,495,1495,2995,
1701407432,,3-(1-Pyrrolidinyl)phenylboronic acid,95,FS008011,C10H14BNO2,191.03958,In Stock,95,195,395,995,1995,4995,
1701407435,,"(2S,4S)-4-Fluoro-1-tert-butoxycarbonyl-pyrrolidine-2-carboxylic acid",95,FS008012,C10H16FNO4,233.24172,In Stock,95,195,295,495,1995,3995,
1701407436,,(1-Hydroxymethyl-cyclopropyl)-acetonitrile,95,FS007136,C6H9NO,111.14473,In Stock,,,,295,795,1950,
1701407438,,"4-Cyano-pyrrolidine-1,2-dicarboxylic acid 1-tert-butyl ester",98,FS008013,C11H16N2O4,240.26117,In Stock,95,,,950,2495,6995,
1701407439,,2-Methyl-6-methoxy-pyridine-3-boronic acid,95,FS007142,C7H10BNO3,166.97365,In Stock,,75,95,195,595,1995,
1701407440,,3-Aminopyridazine,95,FS000313,C4H5N3,95.10455,In Stock,75,95,145,295,995,2495,
1701407444,,6-Fluoro-4-methyl-pyridin-3-ylamine,95,FS007140,C6H7FN2,126.13449,In Stock,75,95,145,295,995,1995,3192
1701407445,,3-Bromo-6-methoxy-2-methyl-pyridine,95,FS007141,C7H8BrNO,202.05191,In Stock,,,,245,995,2495,3992
1701407447,,4-Bromo-pyridazine,95,FS007145,C4H3BrN2,158.98591,In Stock,95,245,395,995,1995,4495,
1701407450,,"Imidazo[1,2-b]pyridazine",95,FS007148,C6H5N3,119.12685,In Stock,75,95,195,495,1495,3495,
1701407463,,"1,4-Dithia-7-aza-spiro[4.4]nonane hydrochloride",95,FS007160,C6H12ClNS2,197.75024,In Stock,95,145,195,295,995,2995,
1701407467,,"1,4-Dithia-7-aza-spiro[4.5]decane hydrochloride",95,FS007163,C7H14ClNS2,211.77733,In Stock,95,145,195,295,995,2995,
1701407476,,"[1,6]Naphthyridine",95,FS008016,C8H6N2,130.15042,In Stock,,,,,,3995,
1701407477,,4-(2-Bromo-acetyl)-benzoic acid,89,FS007171,C9H7BrO3,243.05834,In Stock,,,,495,1995,2995,
1701407478,,2-Fluoropyridine-4-boronic acid,95,FS007172,C5H5BFNO2,140.9105,In Stock,,75,95,195,750,1995,
1701407485,,5-Trifluoromethyl-thiophene-2-boronic acid,95,FS007179,C5H4BF3O2S,195.95663,In Stock,,195,595,850,3995,,
1701407495,,7-Bromo-isoquinoline,95,FS007189,C9H6BrN,208.05887,In Stock,75,95,295,495,1350,2995,
1701407530,,"3-(2,2-Difluoroethoxy)phenylboronic acid",90,FS007224,C8H9BF2O3,201.96693,In Stock,,495,795,1995,,,
1701407579,,"1-Bromo-3-(2,2-difluoro-ethoxy)-benzene",95,FS007273,C8H7BrF2O,237.04519,In Stock,,,,995,2495,4995,
1701407588,,4-(Difluoromethoxy)-phenylboronic acid,95,FS007282,C7H7BF2O3,187.93984,In Stock,75,95,295,495,1350,3995,
1701407589,,2-Difluoromethyl-phenylboronic acid,95,FS007283,C7H7BF2O2,171.94044,In Stock,,,,995,2995,7995,
1701407590,,3-Difluoromethyl-phenylboronic acid,95,FS007284,C7H7BF2O2,171.94044,In Stock,,,395,850,2995,4995,
1701407591,,4-Difluoromethyl-phenylboronic acid,95,FS007285,C7H7BF2O2,171.94044,In stock,,,495,895,1995,4995,
1701407594,,(2-Bromo-3-fluoro-phenyl)-acetic acid,95,FS007288,C8H6BrFO2,233.03822,In Stock,120,245,495,870,2495,4995,
1701407597,,"2,6-Difluoro-4-pyridinecarboxylic acid",95,FS007291,C6H3F2NO2,159.09311,In Stock,95,195,295,495,1995,3995,
1701407607,,"2,3-Difluoro-5-(trifluoromethyl)pyridine",95,FS007301,C6H2F5N,183.08154,In Stock,,,,295,995,2995,
1701407615,,3-Bromo-2-fluorotoluene,95,FS007309,C7H6BrF,189.02827,In Stock,,,195,445,670,1550,
1701407623,,(R)-tert-Butyl 3-(bromomethyl)piperidine-1-carboxylate,95,FS007317,C11H20BrNO2,278.19155,In Stock,,,,895,2495,3995,
1701407634,,(S)-tert-Butyl 3-(bromomethyl)piperidine-1-carboxylate,95,FS007326,C11H20BrNO2,278.19155,In Stock,,,,895,2495,3995,
1701407644,,4-Vinyl-piperidine-1-carboxylic acid tert-butyl ester,95,FS007336,C12H21NO2,211.30667,In Stock,,,,395,1495,3495,
1701407646,,3-Vinyl-piperidine-1-carboxylic acid tert-butyl ester,95,FS007338,C12H21NO2,211.30667,In Stock,,,,995,2495,3995,
1701407648,,3-Chlorosulfonyl-propionic acid methyl ester,95,FS007340,C4H7ClO4S,186.61499,In Stock,,,495,695,1395,3495,
1701407673,,2-Mercaptopyridin-3-ol,95,FS007365,C5H5NOS,127.1657,In Stock,,,,495,1995,4995,
1701407694,,Methyl 3-oxo-cyclobutanecarboxylate,95,FS007386,C6H8O3,128.12886,In Stock,,,395,895,1995,4995,
1701407695,,3-Oxo-cyclobutanecarboxylic acid ethyl ester,95,FS007387,C7H10O3,142.15595,In Stock,,,395,695,1690,2860,
1701407697,,"3,3-Dimethoxycyclobutane-1-carboxylate methyl ester",95,FS007389,C8H14O4,174.19838,In Stock,,,,995,1995,3995,
1701407737,,tert-Butyl 3-(2-ethoxy-2-oxoethylidene)azetidine-1-carboxylate,95,FS007429,C12H19NO4,241.28953,In Stock,,,,995,2995,,
1701407768,,4-Bromo-3-methyl-isothiazole,95,FS007458,C4H4BrNS,178.05118,In Stock,,,495,895,2295,,
1701407769,,Isothiazole-3-carboxylic acid,95,FS007459,C4H3NO2S,129.13801,In Stock,95,295,495,950,2995,,
1701407770,,Isothiazole-5-carboxylic acid,95,FS007460,C4H3NO2S,129.13801,In Stock,,,,495,1995,,
1701407778,,Methyl isothiazole-5-carboxylate,95,FS007468,C5H5NO2S,143.1651,In Stock,95,195,495,995,3495,,
1701407867,,"4,4-Difluorobutanoic acid",95,FS007555,C4H6F2O2,124.08802,In Stock,,,890,1490,4995,,
1701407872,,"4-(2,2-Difluoro-ethylamino)-piperidine-1-carboxylic acid tert-butyl ester",95,FS007562,C12H22F2N2O2,264.31814,In Stock,,,,995,2495,4995,
1701407882,,"2-Methyl-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-benzonitrile",95,FS000654,C14H18BNO2,243.11606,In Stock,95,145,245,495,2295,4995,
1701407885,,4-Bromo-2-trifluoromethyl-pyridine,95,FS007573,C6H3BrF3N,225.99671,In Stock,,95,195,395,995,1995,
1701407887,,1-Bromo-3-chloro-5-nitrobenzene,95,FS008017,C6H3BrClNO2,236.45331,In Stock,75,80,95,195,595,1495,
1701407910,,5-Bromoisothiazole,95,FS007598,C3H2BrNS,164.02409,In Stock,,,,1295,2995,,
1701407911,,6-Trifluoromethyl-pyridine-2-carboxylic acid methyl ester,95,FS007599,C8H6F3NO2,205.13772,In Stock,75,125,245,495,1595,2995,
1701407912,,4-Bromo-2-methoxy-benzoic acid,95,FS007600,C8H7BrO3,231.04719,In Stock,75,125,245,495,1595,2995,4792
1701407917,,3-Amino-6-bromo-pyrazine-2-carboxylic acid methyl ester,95,FS007604,C6H6BrN3O2,232.03762,In Stock,75,80,,295,595,1295,
